,dates,HDFC and TATAMOTORS P/L
0,26-Sep-19,219.70000000000164
1,25-Sep-19,1111.8000000000002
2,24-Sep-19,1590.0000000000018
3,05-Sep-19,-2851.949999999997
4,04-Sep-19,-2769.7999999999956
5,03-Sep-19,-1320.0000000000005
6,30-Aug-19,-744.8999999999992
7,29-Aug-19,-298.34999999999945
8,28-Aug-19,19.05000000000564
9,27-Aug-19,-756.9499999999989
10,26-Aug-19,-491.8500000000013
11,23-Aug-19,-1212.6999999999944
12,22-Aug-19,-1654.2999999999972
13,21-Aug-19,-645.0499999999965
14,20-Aug-19,1119.950000000007
15,19-Aug-19,463.0500000000013
16,16-Aug-19,1052.850000000004
17,14-Aug-19,64.00000000000568
18,13-Aug-19,749.5499999999956
19,09-Aug-19,416.8000000000043
20,08-Aug-19,731.4000000000042
21,07-Aug-19,813.0
22,06-Aug-19,740.6500000000015
23,05-Aug-19,-9.999999999992724
24,02-Aug-19,1828.800000000003
25,01-Aug-19,-25.599999999996953
26,09-Mar-20,2030.7500000000023
27,06-Mar-20,2474.399999999998
28,05-Mar-20,10109.849999999999
29,04-Mar-20,8888.800000000003
30,03-Mar-20,7295.85
31,02-Mar-20,35.200000000000045
32,09-Mar-20,4805.500000000007
33,06-Mar-20,-3486.0000000000005
34,04-Feb-20,2423.450000000001
35,09-Mar-20,-906.3000000000043
36,06-Mar-20,971.350000000002
37,05-Mar-20,10462.199999999997
38,04-Mar-20,9027.2
39,03-Mar-20,6850.199999999997
40,02-Mar-20,5479.100000000005
41,28-Feb-20,-1004.7999999999954
42,27-Feb-20,8944.399999999994
43,26-Feb-20,5313.750000000009
44,25-Feb-20,-108.20000000000391
45,24-Feb-20,590.2000000000021
46,04-Feb-20,-815.4000000000005
47,03-Feb-20,2882.7500000000014
48,01-Feb-20,2155.300000000008
49,03-Mar-20,162.94999999999982
50,01-Feb-20,2346.500000000004
51,09-Mar-20,3598.0500000000006
52,09-Mar-20,1214.2999999999956
53,21-Jan-20,2372.6999999999944
54,20-Jan-20,2142.5000000000045
55,17-Jan-20,3460.2999999999984
56,16-Jan-20,2247.899999999994
57,20-Nov-19,5245.199999999999
58,09-Mar-20,2645.149999999996
59,07-Oct-19,5624.5999999999985
60,04-Oct-19,8078.049999999996
61,09-Mar-20,-1667.350000000007
62,06-Mar-20,2227.9999999999945
63,23-Dec-19,1423.7999999999965
64,07-Oct-19,6974.499999999992
65,04-Oct-19,9048.299999999992
66,09-Mar-20,3529.500000000002
67,06-Mar-20,2219.3499999999967
68,04-Mar-20,566.3500000000004
69,03-Mar-20,1220.2499999999993
70,27-Feb-20,1101.800000000002
71,22-Jan-20,90.0
72,09-Mar-20,18575.249999999996
73,06-Mar-20,7366.799999999992
74,05-Mar-20,4686.600000000002
75,04-Mar-20,5476.049999999998
76,09-Mar-20,12190.099999999999
77,06-Mar-20,5173.599999999999
78,05-Mar-20,5105.900000000005
79,04-Mar-20,5247.0
80,03-Mar-20,4961.25
81,28-Feb-20,2526.6500000000015
82,27-Feb-20,3829.0000000000014
83,26-Feb-20,2383.150000000005
84,09-Mar-20,3829.099999999991
85,06-Mar-20,3103.2000000000053
86,05-Mar-20,164.70000000000073
87,09-Mar-20,9427.800000000001
88,06-Mar-20,8908.050000000001
89,05-Mar-20,11043.9
90,14-Aug-19,199.85000000000446
91,02-Aug-19,-1170.1599999999964
92,01-Aug-19,206.9000000000018
93,14-Jan-20,3507.4500000000044
94,13-Jan-20,4306.600000000006
95,09-Mar-20,9908.050000000001
96,06-Mar-20,10775.849999999997
97,05-Mar-20,6414.149999999998
98,04-Mar-20,8316.55000000001
99,03-Mar-20,2396.6000000000067
100,02-Mar-20,4322.100000000008
101,28-Feb-20,6399.25
102,27-Feb-20,2554.4000000000005
103,26-Feb-20,3865.3000000000015
104,04-Mar-20,130.34999999999673
105,09-Mar-20,-1830.299999999999
106,01-Nov-19,3482.2500000000064
107,09-Mar-20,1545.6999999999953
108,09-Jan-20,1377.4499999999975
109,08-Jan-20,3988.2500000000073
110,07-Jan-20,3570.300000000009
111,06-Jan-20,3452.400000000007
112,08-Aug-19,-5248.650000000005
113,07-Aug-19,-597.5000000000073
114,06-Aug-19,781.2999999999965
115,05-Aug-19,422.7499999999982
116,02-Aug-19,-69.30000000000246
117,01-Aug-19,1262.2499999999961
118,09-Mar-20,4338.949999999999
119,06-Mar-20,2221.1000000000004
120,05-Mar-20,898.2000000000025
121,04-Mar-20,2616.900000000004
122,03-Mar-20,-718.6000000000022
123,02-Mar-20,6768.950000000004
124,28-Feb-20,5540.0999999999985
125,09-Mar-20,14915.75
126,06-Mar-20,13003.05
127,05-Mar-20,8814.700000000008
128,03-Mar-20,5555.100000000002
129,02-Mar-20,8647.500000000004
130,27-Feb-20,4599.19999999999
